,PRWAKA1,PRWAKA2,PRWAKA3,PRWAKA4,PRWAKA5,PRWAKA6,PRWAKA7,PRWAKA8,PRWAKA9,PRWAKA10,PRWAKA11,PRWAKA12,PRWAKA13,PRWAKA14,PRWAKA15,PMLIZA1,PMLIZA2,PMLIZA3,PMLIZA4,PMLIZA5,PMLIZA6,PMLIZA7,PMLIZA8,PMLIZA9,PMLIZA10,PMLIZA11,PMLIZA12,PMLIZA13,PMLIZA14,PMLIZA15,PMLAKE1,PMLAKE2,PMLAKE3,PMLAKE4,PMLAKE5,PMLAKE6,PMLAKE7,PMLAKE8,PMLAKE9,PMLAKE10,PMLAKE11,PMLAKE12,PMLAKE13,PMLAKE14,PMLAKE15,PMTONO1,PMTONO2,PMTONO3,PMTONO4,PMTONO5,PMTONO6,PMTONO7,PMTONO8,PMTONO9,PMTONO10,PMTONO11,PMTONO12,PMTONO13,PMTONO14,PMTONO15,PMALLEN1,PMALLEN2,PMALLEN3,PMALLEN4,PMALLEN5,PMALLEN6,PMALLEN7,PMALLEN8,PMALLEN9,PMALLEN10,PMALLEN11,PMALLEN12,PMALLEN13,PMALLEN14,PMALLEN15,PRROCK1,PRROCK2,PRROCK3,PRROCK4,PRROCK5,PRROCK6,PRROCK7,PRROCK8,PRROCK9,PRROCK10,PRROCK11,PRROCK12,PRROCK13,PRROCK14,PRROCK15,PR1BEECH1,PR1BEECH2,PR1BEECH3,PR1BEECH4,PR1BEECH5,PR1BEECH6,PR1BEECH7,PR1BEECH8,PR1BEECH9,PR1BEECH10,PR1BEECH11,PR1BEECH12,PR1BEECH13,PR1BEECH14,PR1BEECH15,PR2BEECH1,PR2BEECH2,PR2BEECH3,PR2BEECH4,PR2BEECH5,PR2BEECH6,PR2BEECH7,PR2BEECH8,PR2BEECH9,PR2BEECH10,PR2BEECH11,PR2BEECH12,PR2BEECH13,PR2BEECH14,PR2BEECH15
ALEEXC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.278753601,,0.897627091,,,0.278753601,0.278753601,1.517195898,,,1.345373731,,1.680335513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARISER,1.359835482,1.564073979,,0.06069784,0.897627091,1.564073979,1.564073979,0.278753601,0.897627091,1.564073979,0.06069784,0.278753601,0.278753601,2.057475916,2.057475916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.517195898,0.278753601,0.278753601,,0.897627091,0.278753601,,1.931457871,,1.359835482,0.897627091,1.066325925,1.680335513,,,,,,,0.854306042,0.06069784,,,0.06069784,1.716003344,0.06069784,,,,1.931457871,0.897627091,0.06069784,,2.057475916,0.06069784,,0.06069784,,,0.06069784,,,,0.06069784,1.713070326,1.564073979,0.06069784,0.278753601,2.042969073,,1.517195898,2.042969073,2.057475916,2.042969073,0.897627091,2.042969073,0.278753601,2.615581849,1.680335513,0.278753601,1.564073979,,,0.06069784,0.06069784,0.278753601,1.066325925,0.06069784,0.06069784,1.066325925,2.176525337,1.911956189,1.342422681,0.278753601,0.278753601
ASPBUL,,,,0.06069784,0.278753601,0.278753601,0.278753601,1.066325925,0.278753601,0.278753601,0.06069784,0.06069784,0.278753601,0.278753601,,0.278753601,0.278753601,0.06069784,,,0.278753601,,0.897627091,0.278753601,0.278753601,0.278753601,0.278753601,,0.278753601,0.278753601,,,,,,0.06069784,0.06069784,0.278753601,,0.897627091,,,,,,,,0.752048448,,,0.278753601,,0.278753601,0.278753601,0.278753601,0.06069784,0.06069784,,0.06069784,0.752048448,0.278753601,0.278753601,0.278753601,0.278753601,0.06069784,0.752048448,0.752048448,0.752048448,0.278753601,0.752048448,0.752048448,0.752048448,0.278753601,0.278753601,0.752048448,,0.278753601,,0.278753601,,,,,0.06069784,,,0.06069784,,,,,0.06069784,,,0.278753601,0.06069784,,0.278753601,,,0.278753601,0.278753601,0.278753601,0.278753601,0.278753601,,,,,,,,,,0.06069784,,,,,
ASPFLA,,,,,,,,,,,,,,,,,,,,,0.06069784,,,,,0.278753601,,,0.06069784,0.278753601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.278753601,0.06069784,,,,0.06069784,,,,,0.06069784,,0.278753601,,,0.278753601,,0.06069784,,0.06069784,,0.278753601,0.278753601,,,,,,,0.06069784,,,,,,,,0.06069784,,,,,,
ASPOBL,,,,,0.278753601,0.278753601,,,0.278753601,,,,,,,,,,,,,,,,,,,,,,,,0.278753601,0.278753601,0.278753601,,,,,,0.278753601,,0.278753601,,,,,,,0.278753601,0.278753601,,,,,,,0.06069784,,,0.278753601,0.752048448,0.897627091,0.278753601,0.278753601,0.278753601,0.752048448,0.752048448,0.752048448,0.278753601,0.752048448,0.278753601,0.278753601,0.752048448,0.278753601,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.278753601,,,,,,,,,,,,,,,,,
ASPPOL,,,,,,,0.278753601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.278753601,,,,,,,,,,,,,,,,,,,,0.278753601,,,,0.278753601,0.278753601,,,,,,,,,,,,,,,,,,
AUSTRODERIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.897627091,0.897627091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLEFLU,0.278753601,,,,0.278753601,0.278753601,1.093421685,0.278753601,0.278753601,0.278753601,,,,,,0.06069784,,0.06069784,,,,,,0.278753601,,0.06069784,,,,0.278753601,,0.278753601,0.752048448,0.752048448,0.752048448,0.752048448,0.752048448,0.278753601,,0.278753601,0.752048448,,0.752048448,0.752048448,0.752048448,0.278753601,,0.278753601,,,0.278753601,,,0.278753601,,,,,0.06069784,0.278753601,0.06069784,0.278753601,0.06069784,,0.278753601,0.278753601,0.278753601,0.278753601,0.278753601,0.278753601,0.278753601,0.278753601,0.278753601,0.278753601,0.278753601,,,,0.278753601,,0.278753601,,0.278753601,,,0.752048448,0.278753601,,,,,,,0.278753601,1.066325925,,0.752048448,0.278753601,0.278753601,0.278753601,0.278753601,0.278753601,0.752048448,,,,,0.06069784,,0.06069784,,,,,,,,,,
BRAREP,2.201806643,1.066325925,,1.066325925,1.564073979,1.911956189,1.564073979,1.911956189,1.911956189,2.219846386,0.278753601,1.564073979,1.564073979,1.63748973,2.201806643,0.897627091,,0.897627091,,1.517195898,1.517195898,,,,,1.564073979,,,1.517195898,1.713070326,,,,,,,,,,,0.278753601,,,,,1.564073979,,0.278753601,0.278753601,1.564073979,0.897627091,0.278753601,,,,0.897627091,1.564073979,2.057475916,2.042969073,,1.927626962,1.345373731,1.345373731,,0.897627091,,0.278753601,0.278753601,1.204119983,2.201806643,0.897627091,0.278753601,0.897627091,,1.713070326,1.564073979,1.713070326,2.201806643,2.057475916,2.219846386,2.434009709,1.359835482,1.425697213,1.066325925,1.564073979,2.057475916,2.660533467,,0.897627091,2.176525337,1.713070326,,1.713070326,2.434009709,2.434009709,2.290368556,,2.434009709,2.497482537,2.666892211,,2.444669231,2.355355723,2.434009709,2.201806643,2.434009709,1.066325925,0.897627091,0.06069784,0.278753601,0.897627091,1.066325925,,,2.057475916,2.057475916,1.713070326,0.278753601,1.517195898,
CAREX,0.278753601,,,0.278753601,,0.278753601,0.278753601,0.278753601,0.278753601,,0.06069784,0.06069784,0.278753601,0.06069784,0.06069784,,,0.06069784,,,,,,,,,,,,,0.278753601,0.752048448,1.093421685,0.752048448,0.752048448,1.093421685,1.093421685,0.752048448,0.278753601,0.278753601,0.752048448,1.093421685,1.093421685,1.298853076,1.093421685,0.278753601,,,,,0.278753601,,0.06069784,,,0.278753601,0.278753601,,,,,0.06069784,0.06069784,,0.278753601,0.278753601,,,,0.278753601,0.06069784,,0.06069784,,0.278753601,0.278753601,,,0.278753601,,,,,0.278753601,,,,,,0.278753601,,,,,,,,,0.278753601,0.278753601,,,,,,0.278753601,,0.06069784,,0.278753601,0.278753601,0.06069784,,,0.278753601,0.06069784,0.06069784,,,
CARSER,,1.066325925,,1.066325925,,0.897627091,1.564073979,1.066325925,0.278753601,0.897627091,0.06069784,0.854306042,1.066325925,1.564073979,1.066325925,,,0.278753601,,,,,0.278753601,0.278753601,,,,0.06069784,0.06069784,0.33243846,1.517195898,2.057475916,1.564073979,1.425697213,2.040008636,1.564073979,1.713070326,2.057475916,1.359835482,2.057475916,2.201806643,2.189349924,1.564073979,1.564073979,1.911956189,,0.278753601,,0.06069784,0.897627091,0.278753601,,,,,,0.752048448,,,,0.06069784,,0.06069784,,0.06069784,0.06069784,,,,1.517195898,,,,,0.278753601,,0.278753601,,,,,,,,,,,,,,0.897627091,,,,,,0.897627091,0.897627091,,0.278753601,,,,,0.06069784,,,,,,,0.897627091,,,,0.06069784,1.066325925,,,
COPAUT,2.057475916,,0.278753601,0.278753601,0.06069784,1.517195898,,,1.564073979,1.564073979,0.278753601,0.278753601,,1.680335513,,0.06069784,,,0.06069784,,,,0.06069784,0.06069784,0.06069784,,0.06069784,0.06069784,,,,,,,,,,,,,,,0.897627091,,,2.355355723,2.434009709,2.598407459,2.434009709,1.713070326,2.355355723,2.434009709,2.042969073,2.201806643,2.201806643,2.434009709,2.042969073,2.434009709,2.355355723,2.201806643,1.345373731,1.927626962,0.278753601,2.042969073,2.423900919,2.039414119,1.926856709,1.673481697,2.615581849,2.057475916,1.345373731,2.042969073,2.471878199,1.931457871,2.042969073,2.042969073,0.278753601,0.06069784,0.278753601,0.278753601,2.042969073,,0.278753601,,,0.278753601,0.278753601,,,,,,,0.278753601,2.040008636,,2.201806643,2.615581849,0.278753601,,2.348110068,2.930770796,2.434009709,2.434009709,2.611617111,,,,,,,,,,,,,,,
COPFOE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.897627091,,,,,0.278753601,,,0.06069784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COPPVP,,1.066325925,,,,0.897627091,0.278753601,0.06069784,,,0.897627091,0.278753601,0.897627091,,0.897627091,,,,,,,,,,,,,,,,1.066325925,1.564073979,0.897627091,0.278753601,1.066325925,1.066325925,0.752048448,1.564073979,0.897627091,0.278753601,0.752048448,0.752048448,,0.06069784,0.752048448,,,,,,,,,,,,0.278753601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.278753601,,,,,,,,,,,,,,,0.278753601,,0.278753601,0.897627091,1.564073979,0.278753601,1.066325925,1.066325925,0.06069784,1.564073979,0.278753601,1.066325925,0.897627091,0.06069784,
COPRHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.278753601,,,,,,,0.897627091,,,,,0.278753601,0.897627091,0.897627091,,,,,,,,0.278753601,0.06069784,,,,,,,,,,,,,,,,,,,,
COPROB,,,0.06069784,,0.278753601,1.517195898,1.507180977,1.507180977,0.06069784,,0.06069784,0.278753601,0.278753601,0.06069784,0.854306042,,,,,,,,,,,,,,,,,,,0.06069784,0.897627091,,,,,,,,0.897627091,,,1.931457871,,,,,,,,,,,0.897627091,,,,,,,,,,,,,,,,,,,0.06069784,,0.06069784,,0.278753601,1.931457871,0.278753601,0.06069784,0.278753601,0.278753601,0.278753601,,0.06069784,0.278753601,1.227886705,0.278753601,1.927626962,0.278753601,1.899820502,1.931457871,0.278753601,,0.278753601,0.278753601,0.278753601,,,,,,0.278753601,0.278753601,,0.06069784,0.06069784,0.06069784,0.06069784,0.06069784,0.06069784,0.278753601,0.278753601,0.06069784,,0.06069784,0.278753601
COPROT,0.897627091,0.897627091,1.564073979,0.897627091,,,1.066325925,1.066325925,0.897627091,,0.278753601,0.897627091,,,1.564073979,0.06069784,,0.06069784,,,0.06069784,,,0.06069784,,,,0.06069784,0.06069784,0.897627091,,0.278753601,,,0.897627091,0.278753601,0.278753601,,0.06069784,,,,0.278753601,,,,,,,,,,,,,,0.278753601,,,,,0.06069784,,0.06069784,,,,0.33243846,0.06069784,0.897627091,0.854306042,0.06069784,,,0.897627091,,,,,0.897627091,,0.897627091,,,,,1.517195898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COPTEF,,,,,,,,,,,,0.278753601,0.278753601,0.897627091,1.517195898,,,,,,,,,,,,,,,,,,,,,,,,,,0.897627091,0.278753601,,,0.278753601,,0.854306042,,,,,,,,,,0.278753601,,,,,,,,,,,,,,,,,,,,,,,,,0.06069784,,,,,,,,,0.897627091,,,,,2.042969073,2.042969073,,,1.931457871,2.042969073,,,,,,,,,,,,,,,,,,,
CORAVA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.926856709,2.305351369,,2.080987047,,1.926856709,,,2.039414119,1.680335513,,,,,1.926856709,,,,,,,,,,,,,,,,2.294466226,,,,,,,,,1.342422681,,,,,
CYADEA,0.897627091,,,,1.564073979,,,,,,,,,,,,,,,,,,,,,,,,,,0.897627091,1.564073979,1.564073979,,1.564073979,,,1.564073979,,1.517195898,0.897627091,,,,,,,,,,,,0.84509804,,,,,,,,,,,,,,,,,,,,,,,,,,0.462397998,,,,,,,1.564073979,,,,,,,,,1.680335513,,1.505149978,,,,,,,0.84509804,,,,,,,,,,,,,,,,
CYAMED,1.517195898,,,,2.122707254,1.517195898,,,2.191451014,1.517195898,,,,1.507180977,,,,0.278753601,,0.06069784,,,,0.278753601,,,,,,0.278753601,,0.897627091,1.564073979,1.264817823,0.278753601,1.63748973,1.564073979,,,,0.752048448,,0.278753601,1.564073979,,,,1.359835482,2.042969073,1.342422681,1.066325925,,2.042969073,0.897627091,,,,2.040008636,2.434009709,1.066325925,,,,,1.517195898,0.897627091,,,1.680335513,1.517195898,,0.897627091,0.897627091,,0.897627091,,,,,,1.672097858,,,,,,0.897627091,,,,,,,1.672097858,,2.831229694,1.505149978,1.505149978,,,,,0.84509804,0.854306042,,,,,,,,,,,,,,,,
DACDAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06069784,,,,,,,,0.06069784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUCFRA,,,,,,,,,,,,,,,,,,1.959041392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
